system:index,Forest Loss Total,year,.geo
0,1.80255617980306E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.826845506094851E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.268846108465576E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.4797617478614956E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.768653709040815E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.396897751261321E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.435343938359949E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.452021522564051E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.237766677000469E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.36909846633667E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.826423954248932E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.824114375222431E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.1336370098973654E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.712887507654886E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.480846439916633E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.9787924583368756E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.205278828756127E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.953573915492422E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.1014877512488745E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.434943635542974E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.724596568926116E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.5674978059227556E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.307154137906111E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
