system:index,Forest Loss Total,year,.geo
0,855892.785108858,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3269205.7667858647,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4047388.613242714,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1880010213801365E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5624916.337822888,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.7663390784546617E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.4965846911584713E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.6284028515737496E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.4895982250177838E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.391306192211962E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2823037597660318E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.8557656687112726E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.1109771651608935E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.3484390502678845E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0393752363110352E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.3265588419324927E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.1199861862118948E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.2467366645133704E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1890963571335975E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1732978031667432E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.979460854810384E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.2081469889080692E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.968914080030733E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
