system:index,Forest Loss Total,year,.geo
0,8966663.254740875,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5445633.849330528,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5626343.540836828,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7782227.984302715,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5478636.313720703,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3606746.4224243164,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6748306.586205576,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5757365.234863281,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3950970.067014926,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1823952.4079589844,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2304231.1941889743,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5295913.864422488,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2196951.392087929,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7342978.17157868,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.1574905624176385E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1507134090759277E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.3232481012082808E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.961522272893306E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5993192.351882994,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5999831.645263672,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5597574.147583008,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4328987.144592285,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3710316.600957893,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
