system:index,Forest Loss Total,year,.geo
0,6665450.748063151,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1759907.72946167,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2948677.847503662,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4205128.862958003,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8687858.323750336,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,9756794.452227065,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8976441.172702804,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1020762123383166E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.1336290004711436E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9078256.81824221,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6562055.892496744,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8487193.363800049,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4062539.1025553383,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9564795.847091854,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4431116.19676035,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.0829452124286247E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0035956277441885E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6059659.976219986,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.1199492473852895E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6961013.1429748535,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8549468.801821481,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6148364.565019316,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7833682.845131429,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
