system:index,Forest Loss Total,year,.geo
0,43938.12353515625,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,12982.55712890625,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,22285.90596899893,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,19085.996520996094,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2737.2479248046875,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,15858.366149902344,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,19739.550537109375,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,28092.1982421875,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,530.0311279296875,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
