system:index,Forest Loss Total,year,.geo
0,4.21094672239338E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4.6430446156140976E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.6326331497807164E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.65996107896944E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.210726558606783E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.516420553116612E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.276593625323774E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.922818687496135E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.756828381978005E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7.625617567014568E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.490033666498019E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.9693511292814486E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.5642977013519526E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,8.258286497961113E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8.677922596409671E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1458454609654623E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.2340728253787626E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.3129585471912052E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.4111838276921052E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1734629357603459E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.0916672904273048E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.2526881149662942E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.0946577160598205E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
