system:index,Forest Loss Total,year,.geo
0,4634205.843994619,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.1758076798094027E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7337780.551254692,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.7015738996602133E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.788554354963714E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8047516465868663E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.481811873848638E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.490762011009736E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.8648886316315774E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.395162368412511E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.669953330108475E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.885637255485792E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.7870531546229944E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.1765589801963657E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.801300739516458E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.717564043109155E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.708570999264419E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.060248483845047E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.878343819014247E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.781039430631368E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.881210467801921E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.5937609534954E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.753661291583491E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
