system:index,Forest Loss Total,year,.geo
0,3.4604602781691474E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.432799800433586E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.9417438497377628E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.4254038772349626E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.247445143833277E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.9097921039671165E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.310304848714553E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.861604954760296E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.0006056611017793E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.500314054801132E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.9003508048199785E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.481940428708774E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.396565741599052E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.0944902167835635E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.7347974395841634E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.157621736609466E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.418523733397108E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5.730707914454925E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.23303050406886E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.541236723389359E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.010535398576969E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.730273153915648E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.415351149960073E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
