system:index,Forest Loss Total,year,.geo
0,2.1308445858642578E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.521813212834042E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4105615063232422E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.063995087485304E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.3894425761280254E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.723935437436164E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.110822650968568E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.446109443119782E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.289330379681468E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.932882487470009E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.388083631878064E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.7534002139831774E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.507638561948386E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.134648101905924E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.7813302296957575E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.906464410834818E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,9.110054662820806E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.576871844359633E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.48106846601809E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.805892804380672E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.1444239773332375E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7.477931836870788E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.858463269927594E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
