system:index,Forest Loss Total,year,.geo
0,3.564173685182555E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.4038211873514816E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.4159576706604004E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.034497072971194E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.0650914619330002E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.0334823701557857E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.8500137926851827E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.5619547791022733E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.850772241252416E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6737163598300925E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9.25753401380225E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,7.613510038497746E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.9382745213135004E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.070500835372363E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.061313196501225E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.794256768182828E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,9.559163030081546E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.2445111454863302E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.3412508566028333E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.0070651944269228E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.9104576144380432E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.6285748885102993E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.910207813675279E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
