system:index,Forest Loss Total,year,.geo
0,6942417.010498047,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3646754.1644011852,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1115998.496668438,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3421573.086623487,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1697622.858947754,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5161872.4260232365,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.110737606609916E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0015444028280579E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3049952.009087058,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3457107.1569896024,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2915997.7984848917,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.8082113426174507E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1506826.2650852576,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2522509.6001586914,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2029094.9980928309,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2535609.3913399493,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5000057.2560424805,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4202207.709861845,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3591575.648132324,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2944914.0032317517,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.411273644835995E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.2274316275846355E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.42768452838994E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
