system:index,Forest Loss Total,year,.geo
0,264086.0617963006,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,685949.9124523686,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,294619.31427001953,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1789668.2289122338,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,665617.0409368777,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,723608.7100633809,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1400562.1771362305,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1561129.5758982939,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,910349.1700147443,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,947992.1086703432,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,689313.969452742,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1130589.7973020067,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,246523.15067593445,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1735744.5587294635,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,975054.7100830078,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2147964.9417456533,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2636303.275174489,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.0639822737931315E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1955850.8838050992,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3008356.9031477384,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1059403.9936710133,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1798942.9358429553,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2630380.830951047,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
