system:index,Forest Loss Total,year,.geo
0,464546.7772216797,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,478341.33740234375,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,360236.435546875,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1147538.6406860352,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1494361.5262460746,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1345530.1296504,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1447132.8143688727,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1351898.5700683594,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1129855.6704101562,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1469968.3880615234,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1206491.9096679688,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1004475.4827880859,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,979449.2350463867,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2248568.8229154698,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,905089.3686523438,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1928006.7375844917,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2035143.8446784525,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2446850.5591430664,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1845369.5175017712,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,828485.1657714844,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,845119.5062143363,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1109263.434753418,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,960169.369519043,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
