system:index,Forest Loss Total,year,.geo
0,4481216.334533691,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4523662.241134345,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2276088.0541381836,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7825116.773815678,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7499027.439657055,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4077969.825317383,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7374893.338823864,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7918436.286116297,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9116825.004325598,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9612872.062716616,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6376820.887528722,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.045040319237946E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9339026.38280125,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.166737707784735E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7290432.531174604,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4629934291848576E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.1008641935782637E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.2360970417408902E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.6965241174979895E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.7653737753917262E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.461819297067225E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.0048412133307245E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.792795314774888E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
