system:index,Forest Loss Total,year,.geo
0,5.492193465831909E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7.058504100414956E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.984706062839785E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9.040970735193996E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.964634626005189E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.161634901954202E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.1541766510928118E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.91022788784236E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2912021564316502E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.722661336068126E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4168935727836663E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.1512439202867684E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9.990415138065654E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.0574734291052845E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9.548530070831658E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.3579764340931457E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.415210858396215E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.4265157234966502E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.7378293766411626E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.622174750024207E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.564716750260965E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.7528890260185173E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.580235181351894E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
