system:index,Forest Loss Total,year,.geo
0,1.6147651129060036E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.185157306066392E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.9730609984631106E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.315373261389268E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.527722649718197E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.539092428562359E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.6508187327418774E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.5037975545480885E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.093973022937622E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.7708388299393475E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.2566044620266307E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.7892088026684694E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.291481292653294E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.7021763567197315E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.536627365663261E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.543907288016106E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,7.698414755577669E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5.812803282145326E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.815632693802372E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.741355350262499E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.6906360137132E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.729880771665746E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.2673418217244945E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
