system:index,Forest Loss Total,year,.geo
0,5897676.945068359,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6891525.108475748,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7484847.20724595,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7502072.352022538,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.716176951023069E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.1056230403392358E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.712088607331998E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.2767749403104655E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.0939873878504377E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.076489921294065E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2.1517812021766573E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.6380959196752213E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,8584265.718577905,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.4389293707991056E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8577701.91966888,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.100405990848939E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.3100395831460632E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.83890057346268E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.9836255907987945E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.322775777163469E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.0807406859294098E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8936464.448353726,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.4398832292822745E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
