system:index,Forest Loss Total,year,.geo
0,17953.20330810547,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,32410.769165039062,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,192281.88061523438,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,11638.453552246094,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,226820.5091282265,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,466545.7592857211,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,911179.8422492532,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,178594.42834209366,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,598159.4518432617,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,370521.3798828125,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,661694.6841129079,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,468750.2251586914,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,416193.63171769684,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,549815.2057813457,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,404903.16387939453,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,376125.7045288086,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,334817.6436731675,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,517052.9288729798,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,505106.9380517099,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,869392.6498413086,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,346816.52282714844,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1141447.0094604492,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
