system:index,Forest Loss Total,year,.geo
0,1099471.4736938477,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2368184.8637058632,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,584009.8193359375,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5558364.696037263,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5367089.529541016,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5004399.901672363,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6246128.155876848,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3663679.166256654,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4920472.576293945,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.1150768160808727E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4362478.477444278,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3090669.589443551,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2033277.4490356445,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2991297.7834013095,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3206006.9249502146,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4196889.344431439,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3878542.813720703,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3717411.3834352978,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7403044.52975787,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4614288.847101429,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7596243.329958927,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3488671.5167308133,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3582005.9765732707,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
