system:index,Forest Loss Total,year,.geo
0,1.3443972736694336E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.4020861167138673E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.3908584936035156E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.613958853299058E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.958661412149084E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.5003519558828555E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.998604705638404E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.091203409831088E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.161604284432182E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.343696369564233E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.2719181062018182E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.362248005659562E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5.8853920066333726E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7.049608220150578E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5.92350050021099E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1376814928574531E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.6869142508253628E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.883993756745797E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4.280267537631836E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.969448078681186E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.943461775131261E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.38121901811983E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.534904546927992E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
