system:index,Forest Loss Total,year,.geo
0,1.624826108972168E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.6154500796705537E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.1162917138427734E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.4888841821899414E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.327119143697414E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.0737390252512015E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.104301802251072E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.8949228176185757E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.597983026030489E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.9383572731406536E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.1812191750176642E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.2206116972009756E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.5893455010331217E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.5285551062916715E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.5109957274595493E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.371611106689453E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.8847994898746744E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.6392196042223882E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.8091078662864774E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.0872416394104004E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.9351169183776855E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.093628179721967E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.814001591235304E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
