system:index,Forest Loss Total,year,.geo
0,1223429.986860208,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1580888.7464070637,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,987590.8168121936,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3100142.981935748,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4952195.865055578,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2525471.5159203624,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5524478.636454264,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4827113.22190827,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4817039.099410233,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3873861.468100873,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3449893.8066784428,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1613461.7681274414,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1327237.2108594708,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6559901.343115952,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3305740.2369995117,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4660152126872223E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7166112105759803E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.0911816966237027E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8948720.901641726,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.260482783121266E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5419002.23488602,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,7843024.739504825,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.1176213643396236E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
