system:index,Forest Loss Total,year,.geo
0,2.483280769265448E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.1092792025742956E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.0007073904785156E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.673061403697678E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.738657955267549E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,9.20290435316739E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.926929304177916E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6.761087607350476E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.167079105481173E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8.054457794285482E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.3734420969587736E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0808163377399209E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,8.042568995357715E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.093725488180396E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9.513249092049967E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5488374081278247E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7146781554376364E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.614562660143538E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.2185469217230274E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.504522844188065E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.2788966706762336E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.6111092972134244E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.1510432605308358E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
