system:index,Forest Loss Total,year,.geo
0,2.741737712353626E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.806647705283239E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.850812139707949E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.3102913916663516E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.029049729189123E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.2196752608918834E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.321459642484223E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.037718379044996E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.367650024239886E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.7418495999921733E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.182657722640091E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.4042690261426485E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.805025324772772E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.389778340309303E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.279034672279279E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.0268398194396E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.73763491673951E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5.913167557834562E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.847430253367293E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6.803339250132511E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.761454474979658E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.822717062115692E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.744253846285613E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
