system:index,Forest Loss Total,year,.geo
0,1.5083890993650429E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.719432655538737E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.3196440269392665E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.808782557241259E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.628819923755816E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.261504134342759E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.762505940554321E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.018293512391575E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.800830571601705E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.79826919533993E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.052703500897912E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.8443067722717285E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.814984673245419E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.2833637991374895E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.0734073562310673E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.957947404451474E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.301907888638389E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.626319154262504E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.2553132690906726E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.2282086211539E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.774525656867652E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.0758617850070134E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.593199822470679E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
