system:index,Forest Loss Total,year,.geo
0,315809.88623046875,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1097625.3497364717,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,989751.0838630227,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4312101.913024424,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1906244.9947265624,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5146700.383947993,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5275086.491523533,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5562971.378768622,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5860232.942209042,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,7464257.079875631,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4937230.840148447,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8090157.9781764615,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4898625.8251713775,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6198345.964155369,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4221686.135681152,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6733813.256054927,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6245517.973203652,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5259020.9418105185,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,4624181.005554199,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5897206.458192593,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.0226094850498334E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5826458.004528331,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9239499.24844875,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
