system:index,Forest Loss Total,year,.geo
0,1.298698578803687E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4829005.752568742,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,8135497.713465552,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1697063813661342E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6550215.929524979,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4029167.9957471658,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.1970388162320964E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,6856956.2789809285,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5819731.331986969,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2782699.8619995117,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2743301.6696832394,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6979453.952466299,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2368254.6086509554,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6458631.589133827,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8777878.881121468,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,9934602.722839355,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.117744023511245E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.0881237813782696E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7977521.249653176,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7378302.731872559,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4990460.149936093,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6045200.144980756,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5779231.181932158,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
