system:index,Forest Loss Total,year,.geo
0,2553577.8870682064,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,578603.9920222263,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,963761.0778198242,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1643041.3679817948,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2602675.5028200634,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3329056.6603100346,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4163794.196443565,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2735269.8094788794,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,5107776.04736364,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2596093.699737549,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1683815.207611084,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2814464.4685094496,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1233962.6837994745,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2952478.7911071777,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1321744.8728027344,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3684950.4311616784,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3671814.7047469793,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2218583.791654699,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7755285.317308852,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2137828.4306030273,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4083585.046678251,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1656183.5799506693,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2987084.2567443848,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
