system:index,Forest Loss Total,year,.geo
0,5893697.862044271,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8351396.608940573,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3589803.246245261,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2502060964881567E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.3903299031433105E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.1292793477844238E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.455380144973982E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.113308565254409E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8786894505454868E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9907367.914123535,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9016665.096987974,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.9008642702364814E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.6458135742858887E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.701170222076416E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2798172204406738E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.7574978813232422E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7791097170624137E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.4334936496231858E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.7432997146173216E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.664411019989636E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.9648395437044032E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5063917035469085E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.6427021123652678E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
