system:index,Forest Loss Total,year,.geo
0,7236378.421498616,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7733583.121781772,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2830911.9688058887,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7878114.984383257,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9904681.634520408,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.5045862864800427E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.0944941010854205E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1903781248191804E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5399000810852528E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6946617706865735E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.9039691833840046E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.4187944639363129E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.552320541002329E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.8829632780685484E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.969512192256877E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.5558359606782563E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.723286238344176E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.9118404697434966E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.1757929482502654E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.488435873667459E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.2832798503868192E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.490655091464772E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.0491988032584637E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
