system:index,Forest Loss Total,year,.geo
0,4504122.374491613,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9299791.12621448,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7074458.531039608,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.675575978832865E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.913560252143961E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.204549732576689E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5.123199501762742E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.9636009408239976E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.939193532881003E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.5878495860762775E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.074073769612823E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.667841813886144E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.1220963406831153E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.1616188238669485E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.40646592114399E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.852812867231134E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.464283447611347E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5.9785223918252386E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.288774543480632E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1001079123541835E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.854112157302892E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.01356001941167E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,9.848163531433439E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
