system:index,Forest Loss Total,year,.geo
0,5.468865498364217E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.599625316308905E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.5710544505513453E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.898311667903872E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9.460355211251428E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,8.614825389547622E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.443943954185544E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.0351837380264146E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,8.97993078707887E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9.235933822038249E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.057834880829933E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.890315682608589E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,8.210322440739647E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.0395393232908003E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,9.621513579720101E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.3484101463362107E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.6626894191331239E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.48668593399579E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.5960916658212922E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.40575262892938E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.4124437920829415E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.3379336474669251E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.3314465395620651E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
