system:index,Forest Loss Total,year,.geo
0,2.4416143103725296E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.2079844440734863E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.927154054810001E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.29325330608207E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.583385763672282E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5.01458898723111E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.40845276315085E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,5.899622712421803E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.519101573164541E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.3866711984447286E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.315190719187586E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.664070777160357E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.78413470432519E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.266255024808781E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.77212820009129E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,7.506782237790217E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8.11287815322907E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.1481796792446E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.0368431988294415E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.758388638051255E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.896696079936308E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,5.7390047179364614E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.863899314814286E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
