system:index,Forest Loss Total,year,.geo
0,1.4877946030322984E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.9017280769485056E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6576021.692032639,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.7191670270206705E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.547349917208516E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.470774862592629E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.140902108847874E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.348211766360533E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.984842575370088E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8.40293611832005E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.3133650111708455E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,4.6878991682832606E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,3.0769326770270612E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.85491264721706E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.2971190270813946E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.7815565091459386E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.741906775277028E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7.305966625831681E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1975761074573256E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.1377002745003662E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8.851035921810111E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,9.241792077718292E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.0527481214026548E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
