system:index,Forest Loss Total,year,.geo
0,1.6961791428821757E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.021346308188261E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2512762.5045773974,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.223455013976907E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,7413711.532425704,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.2035289824675916E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.898640132545118E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.009903456087598E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.1232374615022548E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.5796387997124646E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5769003.123519838,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.869111294960531E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2958549291363645E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,8025204.321607403,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4359978.3835162,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.42404150035623E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.2436119835775692E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.5286252176109165E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.8527665328056067E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.5029170527846392E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.303365582780434E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.494942949094717E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,6.267980396742279E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
