system:index,Forest Loss Total,year,.geo
0,107104.6714477539,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,184084.9111019359,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,138347.2841796875,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,471303.5343407724,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,584753.4743080288,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,436237.6647949219,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,574434.6279519474,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,849092.7216796875,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,512727.1260986328,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,873482.3861873851,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,475694.30059814453,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,935997.6511230469,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,721532.6196289062,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1671550.3634794347,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,697897.982746199,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,997609.8767700195,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,869373.5161108878,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1124142.7689819336,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,906602.5138549805,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,879569.9243774414,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,863995.5610961914,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,800714.5782470703,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,704805.2224764954,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
