system:index,Forest Loss Total,year,.geo
0,6706574.109130859,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6403148.8892082665,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3271352.0430118334,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0436442381122664E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.3178190267733945E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6045938.032110955,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.0050205130858656E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.4913490864820294E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2670345960139735E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.3630457500161324E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9913298.143326584,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7163573806965187E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.3499681981751686E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.1610425270560231E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,8749475.424740061,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5424933493070954E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.6588885269957297E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.843748719572515E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.958919920082362E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.0250944887664914E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.0925692226249903E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.4843998178814575E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.768244948284672E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
