system:index,Forest Loss Total,year,.geo
0,1.7318050863509834E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.206497473670403E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.5758292636378508E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.0009570928807877E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.7751919503114946E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4.7983469385453165E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.480726530202373E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.254619923849415E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,6.171636626388884E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8.567206112978587E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.993587946161702E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.1312208161200196E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.305887548740043E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.562364498341591E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.351719513109933E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.20155871924381E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.674056081784525E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.554114788557547E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,8.205362427682124E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.117101232071796E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,7.375213039514759E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,8.390633135931984E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.075998447451568E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
