system:index,Forest Loss Total,year,.geo
0,4573304.071674661,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6352166.381185734,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5733498.981140018,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,9488386.244299076,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.801592079360555E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.532168832265206E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.1584809374417294E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.7664331420362286E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.5103408444624718E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.368780645378406E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4849813218930472E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.1392283352652397E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.8660184988787606E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.2689087444218654E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.1539137634245627E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.684358212267049E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.9468195318444945E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.8302279699320115E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.406119791308665E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.1796293316114835E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.0075698187368356E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.05061999612477E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.7463053650723446E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
