system:index,Forest Loss Total,year,.geo
0,8670354.129536945,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8260150.582708381,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,9181284.067823462,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8461305.530943148,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.832674992689664E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.8834343045436725E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.5683589531489354E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.0567672486249134E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.318591989782332E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.116287530689219E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.7522683301880606E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.947799546617288E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.1996520566674806E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.767115310947217E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.604893150817201E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5.857984386344114E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.7070718416427076E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.254218368031532E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.780563177919635E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.599836937152291E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.897345730376168E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5083943270550419E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2265315551320754E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
