system:index,Forest Loss Total,year,.geo
0,1740.3660278320312,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,580.7203979492188,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,579.71044921875,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,14498.59326171875,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1161.4824829101562,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,15624.268676757812,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,69070.6283569336,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,96798.60705566406,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,44585.94921875,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,170091.6908569336,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,49251.23468017578,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,30095.55792236328,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7523.8408203125,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,27829.88983154297,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,17406.01806640625,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,33655.28515625,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,27257.716186523438,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,7551.426696777344,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,19728.507263183594,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,22059.969177246094,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,170502.70532226562,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,26108.945739746094,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,217046.25323486328,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
