system:index,Forest Loss Total,year,.geo
0,273737.29974365234,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,511780.8205566406,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,165754.11541748047,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1993939.0913085938,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1416868.2507441503,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1190730.3840332031,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1631215.3021850586,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1090053.4451562022,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1475941.3168342141,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3681066.5115349265,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1252832.1147575828,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,705042.4254760742,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,342984.57989501953,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,687515.0603960822,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,581886.2406695198,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,977225.1699350395,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1250245.2438017004,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,770604.8982543945,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2176436.9143066406,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,951189.6505737305,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,943445.8522338867,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,457749.6155395508,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,567753.9191894531,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
