system:index,Forest Loss Total,year,.geo
0,2.6284386482068114E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.379329828350687E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.9839751678120926E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,7.01039859824238E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.3975433880606118E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,8.176330794815817E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.3064935813080288E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.125520449914625E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.1897608632345448E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.833954987856275E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.543233348879287E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.491574381993147E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.047601866202292E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.6541573111015794E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2365663467903358E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.387493150309625E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.4455550383684105E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.994893997796882E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.0458890620010293E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.1884115873176005E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.158624722332845E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.945108493144754E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.1422099387091303E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
