system:index,Forest Loss Total,year,.geo
0,5.114849770365637E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8.815219276716931E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.262031636238607E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.8652669164140314E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1201174501783183E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.4483218544619092E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.354144048392023E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,9.201691439188688E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.2341267096539544E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.7474890276693308E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.172106842507652E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.5512243834198838E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.3992576970245647E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.792530618388437E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.9007549728690398E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.117595390024168E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0003311790540551E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.4357399830810905E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.5047618610771003E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.785370815498341E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.4976497631245837E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.1768524457879615E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.5071203711154854E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
