system:index,Forest Loss Total,year,.geo
0,2.10758335256958E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.0752893719059963E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.190861477886963E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.709793519921875E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.4014168750536874E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,3.0874581357970953E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.810550638983561E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.713842094722015E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.634931622907691E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.606574154522346E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.403159546773538E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,9.000656059079327E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.3691320217532888E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,4.126795204265998E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.5442011816449333E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.673603454167815E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.830855514572611E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.956829581568675E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.2675358536454983E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.90929958820042E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.617933602831218E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.132178722753787E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5.349141107607853E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
