system:index,Forest Loss Total,year,.geo
0,667151.6936595243,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,798238.6226806641,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,466815.29714259726,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1507981.247050925,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2557007.3995129154,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2339467.2412293674,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2703010.419962565,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3054918.9038464115,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2290148.1106519513,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2316680.696561686,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2070522.482573625,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,875488.4338989258,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,782366.9375,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1821924.811456658,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1282278.5829360064,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6667696.9257932175,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8305850.715990014,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.801015818583793E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7052999.371172497,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0089443910299622E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3274292.899819288,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4190221.516472311,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7758565.604580509,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
