system:index,Forest Loss Total,year,.geo
0,4.956873023325434E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.736722536150788E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,5.909750650039781E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.407744492583496E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.385066678949173E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.5718972750560734E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.2302226949087106E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.579753344419232E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.762039878555846E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6222154863913098E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0828829317085296E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.617255403467208E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.1437966557878488E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.315505690351943E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.2180410071684018E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.498110781174488E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.9684157333325243E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.5691197807442033E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.9189092089935374E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.201423646776315E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.820063086504253E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.15157005845387E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.9333272267125916E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
