system:index,Forest Loss Total,year,.geo
0,5.502793693887975E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7.205284194152501E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.940472014885172E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.1646830521255374E9,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8.116941565312637E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.174150093526699E9,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.331632814224917E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.4359808085451298E9,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.105654259515528E9,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.5976801496055996E9,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.2201850085052311E9,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.4563965050782003E9,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2537458599344795E9,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.4249669021717439E9,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.337284026803705E9,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.8772098277537124E9,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.955228157843814E9,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.7761382943013723E9,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.9669902794507127E9,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.9722924846147504E9,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.8671196031177473E9,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.8627307152885997E9,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.7726896087744892E9,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
