system:index,Forest Loss Total,year,.geo
0,3.0607599545269176E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6.0204617574341536E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6746700.564950861,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8.766958928666213E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,3.0317376193756104E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,5.982950368184922E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.3764943080522797E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.251789129777282E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.185953403802008E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.2085693651273648E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9.789955758861358E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.7038770484747002E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.644790300564051E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.7830667256400615E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.4141539110088718E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.7032071617554358E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.3632769058012813E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.5912712512387815E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.6429898925003472E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.297726628132134E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.4686306141089272E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5497323202468526E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.1600089769838926E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
