system:index,Forest Loss Total,year,.geo
0,1.3592265470507335E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.111687446760493E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.4904749627574008E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.83041778033543E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.153345211799963E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.4024626505122885E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.7870586442905806E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.674250093922E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.6603934370614804E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.9602673395879526E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.487032884684221E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.503683987137499E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.756121755934604E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.3764258726671405E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.7315428467196114E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.419191551782562E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.82160982207127E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.579170923481087E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5.351562249523495E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,4.707675179118222E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.502302609586349E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.973578306842543E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.375112875650515E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
