system:index,Forest Loss Total,year,.geo
0,2732825.224929869,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,8540992.96509172,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6359857.100354004,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.592946104871922E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1159210760483447E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.580171096084367E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.283954692481809E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.6434002441489063E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.8143322522267543E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,4.519079841625019E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.9766243751556516E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.9768107581954896E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.138439204145077E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.4881521591226973E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.1934894109527467E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.429767089363152E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.3502627798351334E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.6727754631092267E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.2342365606813677E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.1004776440487374E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,3.0799700059802245E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.7877189108843874E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.886527066262351E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
