system:index,Forest Loss Total,year,.geo
0,1.9612011750828877E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.2443364369999904E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.5204683457126273E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.123522855013667E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.180116663217558E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.585223159229856E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.695229656169673E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.887618575327388E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.927907495560231E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.510090046074554E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.5219350491733685E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.227000379075018E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.793818017257511E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.2207607880096074E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.9110915273639515E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,3.7394783732570514E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,3.2299359071044683E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.714087699365546E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.602374245593166E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.8915722912125412E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.408416963965825E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5288567272853477E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.317415594755285E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
