system:index,Forest Loss Total,year,.geo
0,1.4913474659312408E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4764135.139282227,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6845575.866696227,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.020186184604217E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.1827533504685827E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.319695423947706E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7824361000011966E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2.4190378283295877E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.643387968772906E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.9829331392110787E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.3786885782684326E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.9712897526623536E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,9112562.260803223,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0086909842121676E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2286854863639323E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.9928238794111542E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.8467520284043495E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.4142555481741633E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.305900156442536E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.3728173869819192E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.0680477625974286E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.5444654898442527E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.7536956219554707E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
