system:index,Forest Loss Total,year,.geo
0,7.35835077771355E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.10124440308596E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.7068156012816783E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8.606332255456208E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.737319789092073E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,9.219832629248273E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,6.77612376587084E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.724484082310349E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.3310139506888E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,8.761809970218626E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.1008585824384598E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,7.599379013668787E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.516292733136393E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,9.678708930136275E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.0634391541710408E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4833519375916758E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.581481097025454E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.7025759083778244E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.94180975227307E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.580420789345817E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.4870090250399852E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.7532311076545542E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.648739802524608E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
