system:index,Forest Loss Total,year,.geo
0,8711904.863964844,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.938884938256214E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.0091221867988378E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,3.554378848668955E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6.72131500406025E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.2266668391921338E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,4.990442728542169E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.9965303732818E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2.9289773899513155E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,3.617951532864751E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,5.1745231443332806E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,3.5936120867968276E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2.002567438469813E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,3.3351302705725096E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2.023444319708994E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.0172969163415045E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,4.053363844983341E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,4.3934838528744444E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.4903707915937826E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,7.116085071583754E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.211662308908811E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.121059557828249E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.254713732704002E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
