system:index,Forest Loss Total,year,.geo
0,1.4384020674282107E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.384084111807185E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6.70545974208842E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.3980825948979133E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.0103058175354964E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.412408457330436E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.1802813711352277E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.3655277434892637E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0028543532700135E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0981776548521022E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,8.72690210883618E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.0592888312410495E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.010720153807014E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.2322770230362262E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.1215997240043837E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5707208389284164E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.0247564645633388E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.6760022174948227E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.7596850522761974E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.6104891947870278E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.8062132896518087E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.7751627265875626E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.6501809543784168E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
