system:index,Forest Loss Total,year,.geo
0,8.976936459089763E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,9.153193199006802E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,7.381626553396067E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.320438288078218E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1820898671371686E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.5549921259693483E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.5246943225525907E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.191229740540331E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.3095812273467372E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.0355570226946616E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.8409817832879063E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.115596573729552E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.2464032640370902E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.9031224910528517E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.5487707050523752E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.413972974660604E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.879825680626697E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2.775494002126345E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,3.489423991484782E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,3.2595112997910655E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,4.701571873464712E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.415758725810877E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,3.681235253064915E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
