system:index,Forest Loss Total,year,.geo
0,4.547210773709071E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,4.138007712318497E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.912309460258861E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.5190773202900204E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1287476497135872E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.1919732282771736E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.7628725579613063E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.550400856751575E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.841311256236789E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.3095175063324666E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,9.341167860716027E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6.946878848945409E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.030616010285022E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5.9142054958948E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.56167393186509E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.871530084843582E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,8.546483115257783E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.2872480669171046E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.473688145895874E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.268465496393459E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.1415694273021144E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.7078957901552972E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.0979124794967592E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
