system:index,Forest Loss Total,year,.geo
0,1.4630620096068379E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,7819482.340515137,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4249643.510149309,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.0624909408626065E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5517440.921744792,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7880670.321604052,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2.102896493037253E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.3138735065782495E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.108808279474978E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.1708728086910952E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.6644176930444814E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.998805040841615E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,7875814.855455347,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.2795882589028511E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.2360367159169156E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.4701356104416791E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.7952380571501847E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.698048242143124E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.828542563322802E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.372819522625493E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.438560207429463E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.257306992225342E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,7.417467204127868E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
