system:index,Forest Loss Total,year,.geo
0,1.0914805455814855E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6161333.128344009,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4145484.074162741,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2.276208686435068E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,9088750.297079168,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7755975.595976946,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.0842195590281047E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1029641336087337E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9590151.147900868,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4204085516330376E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.4780181393922813E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2.3366174595295504E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.586904800596134E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.2922198978305474E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.1598454516615685E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2.3311680074577063E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2.3260723487386785E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3.0406149769743316E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.5953052727371275E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2.368260453361146E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2.0879063505370136E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,3.3174356861061245E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,4.031781995246032E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
