system:index,Forest Loss Total,year,.geo
0,2.2527288505225807E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.5517538664153695E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2.045247425085617E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,5.1254465207660034E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.05493310808455E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2.832452654193905E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.411784029501546E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,3.045271983010948E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,3.872209517416465E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,5.016429837646221E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,3.6639150337127805E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,5.4008024543198764E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.365568166955878E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,6.921590916951498E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.885479342405479E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,6.302662265340002E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,6.392066164511408E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.042182459404082E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,6.3638875400841564E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,5.369989494077077E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6.160617599369016E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6.599663061021944E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.46511175907935E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
