system:index,Forest Loss Total,year,.geo
0,2.529404701036401E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.399525554827474E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6349649.417256912,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.9125713438848995E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2.1600395945617676E7,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.9259568653801892E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,3.0722531709591135E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.353136784297258E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,4.272355672297843E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6.728404426484974E7,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,4.995806604227917E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,9.997111143038355E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.592334260724954E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.0430948498265381E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,6.90305359532071E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1606707002980599E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.4595178277090085E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.8567174262025914E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.6700888214549753E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.2510893600544769E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.1921347710020512E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.2380081951432604E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.8466559462238124E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
