system:index,Forest Loss Total,year,.geo
0,1.0032307047279292E8,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1.322805341023654E8,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.0652319928522412E8,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1.2761243368789649E8,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.796577540234898E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1.581034443100184E8,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1.4494500798447144E8,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.1127144699085812E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.177220443541645E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.6238208675093588E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.442613682986813E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1.1463648045238371E8,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.0119947884087525E8,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.261225499118444E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1.238627274299672E8,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.8236968984309798E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.8598746528420123E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.8344218281129295E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2.193618895763168E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.8112619042702863E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.8293033566313118E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2.2752896055201605E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2.2320508966147423E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
