system:index,Forest Loss Total,year,.geo
0,3.417845900444132E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,5.298767643333261E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,4.94938404774474E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6.789449439239252E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.0879437291169171E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,8.922415888875422E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.150282559055907E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7.141571404090649E7,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7.195268420879266E7,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.0887357856181052E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6.540484916617216E7,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.53295731390552E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,6.2704491248432234E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,7.278478317292792E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,7.309686829987398E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.1239802490630925E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.0853334088382366E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,8.850981855526878E7,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.1152632917491515E8,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0299312216523677E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1.020154363231936E8,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.0781670400542828E8,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1.1044599220696123E8,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
